Date,Open,High,Low,Close,Adj Close,Volume
2021-10-21,159.289993,161.119995,159.210007,160.679993,157.528351,37000
2021-10-22,161.600006,162.399994,161.009995,161.619995,158.449921,34000
2021-10-25,161.190002,161.800003,160.759995,161.589996,158.420502,26000
2021-10-26,163.360001,163.440002,161.639999,162.289993,159.106766,30100
2021-10-27,163.050003,163.350006,161.490005,161.979996,158.802856,32800
2021-10-28,165.000000,166.389999,164.509995,165.669998,162.420486,43500
2021-10-29,163.410004,164.169998,162.210007,163.710007,160.498932,42600
2021-11-01,165.080002,165.759995,164.229996,165.610001,162.361664,43100
2021-11-02,165.449997,166.330002,165.100006,165.380005,162.136169,48400
2021-11-03,167.970001,170.399994,167.880005,170.080002,166.743988,30900
2021-11-04,170.539993,171.009995,168.860001,169.750000,166.420456,82400
2021-11-05,172.449997,173.020004,171.699997,172.320007,168.940048,43100
2021-11-08,171.720001,171.899994,169.839996,170.339996,166.998886,58400
2021-11-09,171.059998,171.679993,170.110001,171.679993,168.312592,32000
2021-11-10,164.279999,166.000000,162.059998,162.059998,158.881287,89400
2021-11-11,161.039993,161.690002,160.130005,161.539993,158.371490,101200
2021-11-12,160.639999,161.169998,160.029999,161.050003,157.891098,65300
2021-11-15,161.600006,161.919998,160.380005,160.789993,157.636200,85000
2021-11-16,162.449997,163.080002,161.820007,161.820007,158.646011,43400
2021-11-17,161.669998,161.880005,160.369995,161.419998,158.253845,28800
2021-11-18,160.589996,161.410004,159.889999,161.410004,158.244049,37100
2021-11-19,159.580002,160.619995,158.740005,159.389999,156.263657,33700
2021-11-22,157.369995,157.889999,156.389999,156.479996,153.410736,72500
2021-11-23,154.630005,155.070007,152.550003,153.399994,150.391144,61900
2021-11-24,150.059998,151.369995,149.550003,151.039993,148.077438,33400
2021-11-26,144.929993,145.210007,142.660004,143.669998,140.852005,62600
2021-11-29,144.550003,144.679993,142.789993,144.050003,141.224548,75500
2021-11-30,145.529999,146.990005,142.600006,144.600006,141.763763,125400
2021-12-01,148.410004,149.600006,144.940002,145.000000,142.155914,68500
2021-12-02,144.539993,145.619995,144.270004,145.179993,142.332367,162500
2021-12-03,142.449997,142.550003,139.380005,141.720001,138.940247,107000
2021-12-06,144.509995,145.380005,143.490005,144.059998,141.234344,145800
2021-12-07,148.440002,150.139999,148.039993,149.119995,146.195099,99300
2021-12-08,149.330002,149.660004,148.250000,149.199997,146.273529,70200
2021-12-09,146.869995,147.300003,145.449997,145.729996,142.871582,228300
2021-12-10,144.330002,144.729996,143.220001,144.720001,141.881409,113900
2021-12-13,143.800003,143.800003,141.449997,142.479996,139.685333,140100
2021-12-14,141.039993,141.589996,139.330002,140.000000,137.253983,79600
2021-12-15,141.899994,143.139999,140.509995,143.100006,140.293182,71900
2021-12-16,144.320007,144.460007,141.039993,141.570007,138.793198,74600
2021-12-17,141.380005,143.720001,140.639999,140.919998,138.155930,73600
2021-12-20,137.740005,139.229996,137.639999,139.229996,136.499084,95100
2021-12-21,138.889999,139.940002,138.240005,139.929993,137.185349,108000
2021-12-22,140.770004,142.089996,140.500000,141.509995,138.734360,60200
2021-12-23,142.229996,143.240005,142.000000,142.270004,139.479462,81300
2021-12-27,143.210007,144.000000,142.889999,143.860001,141.038269,101300
2021-12-28,143.649994,144.679993,143.470001,143.729996,140.910812,67500
2021-12-29,143.979996,144.449997,143.490005,144.199997,141.371597,53300
2021-12-30,145.039993,145.080002,143.020004,143.020004,140.214752,64200
2021-12-31,143.000000,144.399994,142.559998,144.000000,141.175522,36400
2022-01-03,146.600006,147.580002,145.990005,147.149994,144.263733,105700
2022-01-04,146.979996,147.580002,145.210007,146.050003,143.185318,59300
2022-01-05,148.720001,148.979996,145.289993,145.289993,142.440216,51100
2022-01-06,142.839996,143.850006,142.029999,142.929993,140.126511,65400
2022-01-07,141.559998,141.559998,139.410004,140.830002,138.067703,66500
2022-01-10,139.259995,141.800003,137.820007,141.399994,138.626511,334800
2022-01-11,145.460007,146.250000,144.660004,145.669998,142.812775,125200
2022-01-12,145.339996,146.289993,143.970001,145.580002,142.724533,310100
2022-01-13,148.669998,148.669998,145.440002,145.630005,142.773560,145500
2022-01-14,144.940002,145.940002,143.610001,145.149994,142.302963,71800
2022-01-18,146.270004,146.889999,143.800003,144.179993,141.351990,137700
2022-01-19,145.039993,145.880005,143.660004,144.110001,141.283371,71400
2022-01-20,145.339996,146.059998,143.500000,143.910004,141.087296,162300
2022-01-21,142.100006,143.289993,140.850006,141.449997,138.675537,99900
2022-01-24,137.440002,139.979996,134.699997,139.740005,136.999084,120000
2022-01-25,136.029999,136.240005,133.020004,135.710007,133.048141,80700
2022-01-26,138.919998,139.979996,135.240005,136.449997,133.773605,102200
2022-01-27,135.919998,136.580002,133.919998,134.919998,132.273621,125900
